task,"('google/gemma-3-270m-it', 'Base')","('google/gemma-3-270m-it', 'Best Skip Layer')","('google/gemma-3-270m-it', 'Performance')","('google/gemma-3-270m-it', 'Candidate Count')","('google/gemma-3-1b-it', 'Base')","('google/gemma-3-1b-it', 'Best Skip Layer')","('google/gemma-3-1b-it', 'Performance')","('google/gemma-3-1b-it', 'Candidate Count')","('meta-llama/Llama-3.2-1B-Instruct', 'Base')","('meta-llama/Llama-3.2-1B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-1B-Instruct', 'Performance')","('meta-llama/Llama-3.2-1B-Instruct', 'Candidate Count')","('meta-llama/Llama-3.2-3B-Instruct', 'Base')","('meta-llama/Llama-3.2-3B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-3B-Instruct', 'Performance')","('meta-llama/Llama-3.2-3B-Instruct', 'Candidate Count')","('Qwen/Qwen3-1.7B', 'Base')","('Qwen/Qwen3-1.7B', 'Best Skip Layer')","('Qwen/Qwen3-1.7B', 'Performance')","('Qwen/Qwen3-1.7B', 'Candidate Count')","('Qwen/Qwen3-4B', 'Base')","('Qwen/Qwen3-4B', 'Best Skip Layer')","('Qwen/Qwen3-4B', 'Performance')","('Qwen/Qwen3-4B', 'Candidate Count')","('Qwen/Qwen3-8B', 'Base')","('Qwen/Qwen3-8B', 'Best Skip Layer')","('Qwen/Qwen3-8B', 'Performance')","('Qwen/Qwen3-8B', 'Candidate Count')","('allenai/OLMo-2-0425-1B-Instruct', 'Base')","('allenai/OLMo-2-0425-1B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-0425-1B-Instruct', 'Performance')","('allenai/OLMo-2-0425-1B-Instruct', 'Candidate Count')","('allenai/OLMo-2-1124-7B-Instruct', 'Base')","('allenai/OLMo-2-1124-7B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-1124-7B-Instruct', 'Performance')","('allenai/OLMo-2-1124-7B-Instruct', 'Candidate Count')"
global_mmlu_full_id_marketing,31.62%,4,-1.28%,0,46.58%,24,+2.14%,6,52.14%,15,-0.85%,0,66.24%,22,+2.99%,4,70.94%,24,+0.85%,1,83.76%,34,0.00%,0,83.76%,22,+1.28%,6,35.04%,14,+4.27%,2,54.27%,15,+0.43%,3
global_mmlu_full_id_medical_genetics,26.00%,0,+5.00%,8,45.00%,23,-1.00%,0,42.00%,11,+4.00%,1,64.00%,15,0.00%,0,57.00%,25,+3.00%,5,70.00%,21,+3.00%,1,76.00%,27,+3.00%,8,39.00%,11,-2.00%,0,44.00%,28,+6.00%,6
global_mmlu_full_id_miscellaneous,28.48%,16,+0.38%,1,44.06%,20,+2.04%,6,51.98%,15,+0.38%,1,62.71%,16,+0.77%,5,58.24%,24,+0.26%,1,69.48%,26,+0.89%,4,74.33%,26,+1.02%,8,36.14%,11,+0.38%,3,54.28%,25,+1.40%,3
global_mmlu_full_id_nutrition,23.20%,11,+5.88%,11,42.81%,18,+1.96%,7,50.98%,11,-0.65%,0,56.21%,22,+2.94%,4,53.92%,26,+1.96%,3,65.03%,35,+2.29%,3,71.57%,34,+2.61%,12,38.24%,14,+1.96%,3,46.73%,19,+2.94%,10
global_mmlu_full_id_professional_accounting,18.44%,10,+8.16%,17,28.72%,16,+1.77%,3,29.79%,7,+2.84%,4,39.36%,20,+2.48%,9,34.75%,16,+3.19%,7,42.20%,26,+1.77%,1,47.87%,22,+1.06%,5,30.50%,12,+0.71%,1,31.56%,17,+3.90%,7
global_mmlu_full_id_professional_medicine,20.96%,11,+23.16%,5,32.72%,9,+6.99%,3,33.09%,13,+6.25%,2,43.38%,20,+2.57%,4,38.97%,18,+8.82%,7,66.18%,30,+0.74%,3,73.16%,30,+0.37%,1,22.06%,12,+9.93%,7,36.03%,19,+6.62%,10
global_mmlu_full_id_virology,31.93%,14,+4.22%,3,38.55%,17,+1.81%,3,40.96%,12,+1.81%,1,47.59%,12,+0.60%,3,44.58%,18,+4.82%,12,43.37%,2,+4.82%,12,55.42%,29,+1.20%,6,31.93%,12,+5.42%,7,41.57%,4,+1.20%,5
global_mmlu_full_id_econometrics,22.81%,2,+5.26%,9,19.30%,2,+9.65%,19,22.81%,1,+9.65%,11,32.46%,15,+3.51%,5,41.23%,20,+2.63%,2,50.88%,22,+3.51%,5,52.63%,22,+3.51%,9,20.18%,8,+13.16%,12,26.32%,18,+6.14%,14
global_mmlu_full_id_high_school_geography,20.71%,11,+9.09%,10,48.99%,19,+0.51%,2,49.49%,15,-1.52%,0,58.08%,17,+2.53%,8,57.07%,26,+1.52%,3,70.71%,20,+0.51%,3,78.79%,26,+1.52%,2,26.26%,12,+5.05%,4,38.38%,22,+6.57%,9
global_mmlu_full_id_high_school_government_and_politics,22.28%,11,+13.99%,7,44.04%,18,+2.07%,3,34.20%,11,+3.63%,3,50.26%,18,0.00%,0,47.67%,18,+1.04%,2,61.66%,31,+3.11%,4,66.84%,33,+2.07%,10,32.12%,8,+5.70%,2,38.34%,19,+4.66%,10
global_mmlu_full_id_high_school_macroeconomics,21.54%,11,+14.87%,8,38.46%,15,+2.31%,4,33.08%,13,+4.10%,3,46.67%,21,+0.26%,2,43.08%,26,+4.62%,8,62.82%,28,+0.51%,1,72.31%,26,+0.26%,1,30.51%,12,+3.08%,4,34.62%,19,+2.05%,8
global_mmlu_full_id_high_school_microeconomics,25.21%,11,+9.66%,3,44.12%,15,+0.84%,3,39.92%,15,0.00%,0,47.48%,23,+2.52%,8,50.42%,26,+5.04%,4,69.33%,34,+1.68%,6,79.41%,28,+1.68%,5,35.29%,12,+3.78%,3,36.55%,28,+3.78%,7
global_mmlu_full_id_high_school_psychology,24.95%,11,+6.79%,3,46.24%,19,+1.28%,2,41.10%,11,0.00%,0,59.27%,18,+1.10%,6,58.72%,26,+1.47%,1,78.35%,27,+0.37%,1,82.57%,35,+0.37%,2,32.48%,12,+0.73%,3,42.57%,15,+4.04%,14
global_mmlu_full_id_human_sexuality,25.95%,1,+3.05%,5,41.22%,25,+1.53%,2,48.09%,11,+1.53%,1,53.44%,22,+1.53%,2,51.91%,24,+2.29%,4,62.60%,16,+3.82%,11,71.76%,26,+3.05%,8,38.17%,15,+3.05%,2,51.15%,31,+1.53%,4
global_mmlu_full_id_professional_psychology,27.12%,9,+1.80%,2,33.99%,18,+1.31%,4,33.50%,14,+0.98%,1,43.30%,24,+2.94%,9,44.28%,16,-0.33%,0,58.17%,25,+1.31%,6,62.58%,28,+0.65%,2,30.07%,15,+1.14%,2,36.27%,19,+1.63%,9
global_mmlu_full_id_public_relations,30.91%,16,+5.45%,4,40.91%,19,+0.91%,2,47.27%,15,-3.64%,0,47.27%,13,+3.64%,8,49.09%,16,+1.82%,2,49.09%,34,+6.36%,19,60.00%,22,+4.55%,9,30.00%,12,+6.36%,12,46.36%,15,+4.55%,4
global_mmlu_full_id_security_studies,24.90%,11,+12.65%,5,44.08%,20,+1.63%,7,42.45%,11,+2.04%,2,61.63%,19,+0.82%,2,49.80%,26,+4.90%,3,64.49%,25,+4.49%,10,70.20%,28,+3.67%,4,37.14%,12,+5.31%,4,57.96%,25,+0.82%,1
global_mmlu_full_id_sociology,26.87%,14,+4.48%,5,50.25%,19,0.00%,0,49.75%,11,+1.00%,2,66.67%,22,+0.50%,2,59.70%,26,+3.48%,5,72.14%,35,+1.99%,3,78.11%,35,+0.50%,1,36.32%,15,+4.48%,4,62.69%,28,+0.50%,1
global_mmlu_full_id_us_foreign_policy,27.00%,14,+4.00%,7,57.00%,19,+2.00%,1,49.00%,15,-2.00%,0,68.00%,19,+2.00%,3,62.00%,24,+2.00%,2,75.00%,32,+3.00%,6,80.00%,22,+4.00%,5,44.00%,12,0.00%,0,59.00%,9,+5.00%,8
global_mmlu_full_id_abstract_algebra,17.00%,8,+16.00%,16,29.00%,10,+3.00%,3,27.00%,5,+5.00%,4,29.00%,2,+11.00%,5,35.00%,6,+4.00%,4,37.00%,2,+4.00%,12,42.00%,11,+6.00%,11,27.00%,11,+8.00%,6,,,,
global_mmlu_full_id_anatomy,26.67%,3,+5.19%,4,32.59%,16,+4.44%,7,45.93%,11,-2.96%,0,41.48%,27,+7.41%,11,44.44%,27,+1.48%,1,51.85%,25,+4.44%,15,57.78%,31,+2.96%,10,30.37%,14,+2.96%,2,,,,
global_mmlu_full_id_astronomy,19.08%,5,+11.84%,11,34.87%,19,+4.61%,4,40.13%,15,+2.63%,3,52.63%,22,+3.95%,6,53.29%,18,+3.29%,5,71.71%,26,+1.97%,5,76.97%,18,+1.32%,7,25.66%,8,+5.92%,5,,,,
global_mmlu_full_id_college_biology,22.22%,9,+8.33%,18,38.19%,21,0.00%,0,33.33%,14,+2.78%,2,53.47%,22,+1.39%,2,47.92%,26,+5.56%,4,68.06%,26,+1.39%,6,76.39%,35,+0.69%,1,30.56%,14,+0.69%,1,,,,
global_mmlu_full_id_college_chemistry,21.00%,5,+17.00%,7,34.00%,21,-1.00%,0,27.00%,13,+10.00%,5,38.00%,18,+7.00%,9,37.00%,18,+4.00%,7,50.00%,20,+4.00%,10,57.00%,17,+2.00%,4,29.00%,12,+5.00%,4,,,,
global_mmlu_full_id_college_computer_science,21.00%,5,+12.00%,14,34.00%,1,+1.00%,1,35.00%,11,+3.00%,2,41.00%,22,+3.00%,4,37.00%,25,+9.00%,10,57.00%,19,+5.00%,11,65.00%,28,+1.00%,3,29.00%,15,+4.00%,3,,,,
global_mmlu_full_id_college_mathematics,23.00%,9,+7.00%,9,32.00%,22,+1.00%,3,31.00%,11,+2.00%,3,30.00%,12,+6.00%,5,35.00%,25,+3.00%,5,45.00%,30,+1.00%,2,45.00%,4,+4.00%,8,29.00%,14,+6.00%,6,,,,
global_mmlu_full_id_college_physics,13.73%,11,+19.61%,18,22.55%,1,+5.88%,17,25.49%,11,+5.88%,6,33.33%,18,+4.90%,8,29.41%,14,+13.73%,16,45.10%,24,+8.82%,7,59.80%,21,0.00%,0,29.41%,4,+3.92%,3,,,,
global_mmlu_full_id_computer_security,28.00%,17,+5.00%,5,44.00%,20,+5.00%,5,47.00%,11,+2.00%,2,62.00%,17,+1.00%,5,62.00%,23,+2.00%,2,77.00%,7,+2.00%,4,77.00%,15,+4.00%,4,28.00%,0,+5.00%,3,,,,
global_mmlu_full_id_conceptual_physics,29.36%,13,+4.26%,4,36.60%,15,+0.85%,2,34.89%,12,+0.43%,1,42.98%,21,+0.85%,2,52.34%,24,0.00%,0,65.96%,26,+1.70%,8,69.36%,25,+2.55%,11,34.89%,14,+2.55%,2,,,,
global_mmlu_full_id_electrical_engineering,28.28%,17,+4.14%,3,38.62%,17,+4.14%,8,35.86%,11,+6.21%,3,55.17%,22,+2.07%,2,52.41%,20,+4.14%,3,60.69%,28,+2.76%,7,62.76%,27,+4.14%,11,38.62%,11,+2.07%,2,,,,
global_mmlu_full_id_elementary_mathematics,21.69%,9,+8.47%,11,28.31%,11,+2.12%,3,27.78%,11,+2.12%,3,36.77%,22,+2.91%,2,47.62%,26,+2.91%,4,61.11%,27,+1.32%,4,68.25%,34,+1.06%,3,30.95%,14,+0.26%,1,,,,
global_mmlu_full_id_high_school_biology,25.16%,11,+6.45%,7,44.19%,22,+2.26%,3,41.29%,11,+1.94%,3,55.16%,22,+2.90%,7,60.32%,24,+1.61%,4,77.42%,27,+1.29%,6,84.52%,25,+1.94%,9,34.19%,12,+2.90%,1,,,,
global_mmlu_full_id_high_school_chemistry,26.11%,3,+2.96%,6,31.03%,20,+1.48%,1,35.96%,15,+4.93%,2,47.78%,18,+0.99%,1,49.26%,26,+2.46%,3,65.52%,25,+0.99%,2,65.52%,34,+4.43%,7,27.59%,12,+6.40%,9,,,,
global_mmlu_full_id_high_school_computer_science,25.00%,17,+7.00%,8,33.00%,20,+11.00%,7,36.00%,11,+10.00%,3,59.00%,18,+1.00%,1,58.00%,25,+5.00%,6,78.00%,25,+1.00%,3,82.00%,2,+3.00%,5,37.00%,11,0.00%,0,,,,
global_mmlu_full_id_high_school_mathematics,20.00%,11,+9.26%,16,25.93%,11,+0.37%,1,28.52%,7,+4.07%,4,34.07%,18,+0.74%,1,37.04%,16,+2.22%,7,37.78%,19,+5.56%,20,48.15%,2,+3.70%,10,26.30%,8,+4.07%,6,,,,
global_mmlu_full_id_high_school_physics,17.22%,5,+15.89%,14,29.80%,22,+1.32%,1,26.49%,15,+5.30%,6,29.80%,5,+5.30%,9,38.41%,25,+2.65%,6,55.63%,27,+2.65%,4,58.94%,2,+2.65%,9,25.17%,8,+8.61%,5,,,,
global_mmlu_full_id_high_school_statistics,16.67%,11,+28.24%,11,30.09%,22,+8.80%,4,30.09%,13,+7.87%,4,37.96%,26,+3.70%,7,43.98%,18,+10.65%,4,61.57%,27,+1.85%,3,70.37%,33,+1.85%,6,29.17%,8,+14.35%,4,,,,
global_mmlu_full_id_machine_learning,27.68%,7,+4.46%,7,29.46%,17,+5.36%,9,29.46%,3,+3.57%,4,27.68%,12,+13.39%,15,36.61%,22,+5.36%,4,46.43%,27,+1.79%,6,43.75%,25,+4.46%,12,25.00%,14,+5.36%,7,,,,
global_mmlu_full_ja_formal_logic,16.67%,4,+15.08%,17,32.54%,2,+3.17%,4,31.75%,0,+3.97%,1,23.81%,1,+5.56%,19,39.68%,18,+6.35%,6,50.00%,19,+5.56%,18,55.56%,33,+5.56%,10,27.78%,12,+7.14%,2,,,,
global_mmlu_full_ja_high_school_european_history,27.27%,8,+3.03%,3,40.00%,20,+4.85%,5,42.42%,14,+3.64%,1,63.64%,22,0.00%,0,58.18%,23,+0.61%,1,69.70%,25,+1.82%,9,70.30%,33,+1.21%,5,27.88%,4,+2.42%,4,,,,
global_mmlu_full_ja_high_school_us_history,23.53%,1,+4.90%,17,37.25%,20,+2.45%,4,35.29%,11,+2.94%,1,50.49%,19,0.00%,0,45.10%,22,+1.47%,1,65.20%,26,0.00%,0,72.55%,29,+3.43%,6,27.94%,12,+3.43%,1,,,,
global_mmlu_full_ja_high_school_world_history,25.74%,3,+3.38%,9,43.88%,18,+4.22%,2,40.93%,11,+0.84%,1,61.60%,21,+0.42%,1,64.14%,23,+1.69%,1,73.84%,31,+0.42%,1,79.75%,35,+0.84%,1,31.22%,14,-0.42%,0,,,,
global_mmlu_full_ja_international_law,29.75%,9,+7.44%,2,55.37%,20,0.00%,0,59.50%,11,-2.48%,0,63.64%,21,+2.48%,4,62.81%,26,+1.65%,3,65.29%,10,+6.61%,14,74.38%,35,+2.48%,3,41.32%,11,+4.13%,3,,,,
global_mmlu_full_ja_jurisprudence,22.22%,12,+8.33%,13,31.48%,15,+3.70%,7,45.37%,15,+2.78%,1,56.48%,19,+0.93%,2,45.37%,14,+5.56%,8,56.48%,7,+4.63%,14,63.89%,22,+6.48%,4,34.26%,15,+5.56%,4,,,,
global_mmlu_full_ja_logical_fallacies,25.15%,8,+1.84%,2,34.97%,11,+3.68%,3,39.26%,11,+0.61%,1,47.24%,18,+1.84%,4,42.94%,20,+1.23%,2,55.83%,35,+1.84%,4,62.58%,28,+3.07%,6,31.29%,2,+0.61%,2,,,,
global_mmlu_full_ja_moral_disputes,28.32%,17,+3.18%,1,40.17%,24,+0.58%,3,35.84%,11,+4.05%,2,50.00%,21,+3.18%,1,45.38%,16,+4.91%,6,56.07%,28,+1.45%,5,57.51%,29,+4.05%,10,31.21%,15,+1.45%,3,,,,
global_mmlu_full_ja_moral_scenarios,24.25%,11,+3.02%,7,27.04%,24,+0.56%,5,23.91%,11,+4.58%,12,30.17%,17,+1.79%,3,24.25%,0,+1.01%,9,28.27%,29,+6.59%,15,28.27%,20,+11.17%,23,22.79%,3,+1.68%,16,,,,
global_mmlu_full_ja_philosophy,28.94%,8,+3.22%,2,38.26%,15,+1.29%,3,40.51%,11,-0.32%,0,46.30%,17,+1.61%,6,44.05%,26,+4.50%,3,51.45%,35,+1.29%,1,57.23%,28,+1.93%,2,25.72%,12,+6.43%,8,,,,
global_mmlu_full_ja_prehistory,23.46%,8,+4.32%,8,35.49%,20,+3.09%,2,36.11%,11,+1.23%,2,45.37%,20,+2.47%,4,47.53%,26,+0.93%,1,54.01%,31,+2.47%,8,68.52%,35,-0.31%,0,27.16%,12,+7.41%,3,,,,
global_mmlu_full_ja_professional_law,24.84%,1,+1.24%,8,27.18%,18,+1.50%,6,29.14%,11,+0.59%,2,33.31%,8,+0.33%,2,35.66%,25,-0.13%,0,40.22%,29,+0.59%,1,41.79%,28,+0.39%,5,28.23%,15,+0.72%,3,,,,
global_mmlu_full_ja_world_religions,29.24%,3,+8.77%,9,33.33%,17,+5.85%,7,30.41%,14,+8.77%,4,50.88%,17,+1.17%,1,47.95%,25,+1.75%,1,63.16%,28,+2.92%,7,66.67%,23,+2.34%,13,28.65%,14,+1.75%,3,,,,
global_mmlu_full_ja_business_ethics,20.00%,12,+11.00%,14,45.00%,17,+1.00%,2,43.00%,11,+1.00%,1,52.00%,12,+4.00%,6,57.00%,23,-1.00%,0,61.00%,11,+1.00%,9,66.00%,2,+1.00%,1,26.00%,14,+14.00%,11,,,,
global_mmlu_full_ja_clinical_knowledge,27.55%,5,+2.64%,4,40.38%,21,+1.51%,2,40.00%,15,+1.89%,2,46.04%,19,+2.64%,5,52.45%,26,+1.13%,1,64.15%,28,+2.64%,9,72.08%,28,+0.75%,3,30.94%,7,+2.26%,1,,,,
global_mmlu_full_ja_college_medicine,21.97%,11,+10.40%,6,36.42%,21,+2.89%,2,34.68%,14,+0.58%,1,39.31%,17,+4.62%,8,43.93%,26,+1.16%,1,57.23%,19,+2.89%,9,70.52%,31,+0.58%,1,27.75%,7,+2.31%,5,,,,
global_mmlu_full_ja_global_facts,22.00%,8,+11.00%,6,24.00%,16,+12.00%,9,34.00%,12,+3.00%,3,34.00%,15,+4.00%,5,32.00%,21,+7.00%,5,34.00%,23,+4.00%,8,36.00%,9,+6.00%,13,27.00%,4,+8.00%,10,,,,
global_mmlu_full_ja_human_aging,30.04%,15,+5.38%,9,34.08%,17,+5.83%,7,31.84%,9,+8.52%,7,43.05%,16,+3.59%,4,45.29%,20,+0.90%,1,51.57%,29,+3.14%,11,58.30%,21,+2.69%,2,34.08%,5,+4.04%,10,,,,
global_mmlu_full_ja_management,20.39%,11,+13.59%,7,42.72%,15,+4.85%,2,38.83%,12,+1.94%,4,57.28%,20,+3.88%,4,57.28%,18,+4.85%,3,72.82%,7,+0.97%,7,78.64%,20,+3.88%,10,23.30%,4,+6.80%,12,,,,
global_mmlu_full_ja_marketing,23.08%,3,+9.83%,15,47.86%,15,+2.14%,3,50.43%,15,-2.14%,0,68.80%,21,+2.14%,1,65.81%,16,+3.42%,12,79.91%,2,+0.43%,4,82.91%,26,+1.28%,8,39.32%,14,-1.71%,0,,,,
global_mmlu_full_ja_medical_genetics,31.00%,2,+2.00%,1,47.00%,25,+2.00%,1,42.00%,15,-2.00%,0,52.00%,18,+3.00%,5,43.00%,26,+3.00%,10,62.00%,26,+4.00%,8,71.00%,35,+1.00%,1,32.00%,14,+4.00%,2,,,,
global_mmlu_full_ja_miscellaneous,26.56%,16,+2.30%,3,40.36%,20,+2.17%,3,41.76%,11,-0.38%,0,51.09%,18,+1.02%,6,47.89%,24,+2.17%,3,61.69%,31,+0.64%,2,69.60%,25,+0.64%,5,31.03%,12,-0.13%,0,,,,
global_mmlu_full_ja_nutrition,23.53%,5,+6.86%,9,43.14%,21,+1.31%,6,45.75%,15,-0.65%,0,55.23%,21,-0.33%,0,50.98%,18,+2.29%,5,66.34%,25,+1.63%,5,70.59%,20,+0.98%,6,29.74%,12,+5.56%,3,,,,
global_mmlu_full_ja_professional_accounting,20.21%,9,+7.45%,17,28.72%,16,+1.77%,3,30.85%,2,-0.35%,0,36.52%,17,+1.77%,4,37.94%,27,+1.06%,3,42.91%,35,+1.77%,1,47.87%,22,+1.77%,5,25.89%,12,+1.42%,7,,,,
global_mmlu_full_ja_professional_medicine,23.53%,11,+19.49%,3,25.00%,13,+16.91%,5,27.57%,13,+8.82%,3,35.29%,0,+8.09%,8,41.54%,18,+8.46%,4,57.35%,20,+1.10%,2,72.43%,30,+1.47%,4,20.22%,8,+17.65%,9,,,,
global_mmlu_full_ja_virology,28.31%,12,+3.01%,3,37.95%,17,+3.01%,5,40.36%,11,0.00%,0,44.58%,15,+1.20%,6,40.36%,15,+6.63%,10,46.39%,17,+3.61%,11,50.60%,15,+3.01%,8,31.33%,14,+2.41%,6,,,,
global_mmlu_full_ja_econometrics,27.19%,14,+0.88%,1,21.93%,12,+7.02%,17,22.81%,13,+7.02%,15,31.58%,13,+2.63%,5,39.47%,16,+0.88%,1,39.47%,22,+6.14%,12,57.89%,27,0.00%,0,19.30%,9,+8.77%,11,23.68%,3,+5.26%,21
global_mmlu_full_ja_high_school_geography,24.75%,11,+8.59%,9,48.99%,21,+1.52%,1,39.90%,15,+2.02%,1,55.05%,20,+3.54%,6,51.52%,26,+2.02%,1,65.66%,7,+4.55%,13,78.79%,27,+2.02%,5,20.20%,11,+5.56%,14,37.88%,28,+4.04%,8
global_mmlu_full_ja_high_school_government_and_politics,23.83%,11,+13.47%,6,39.90%,18,+6.74%,4,40.41%,15,+1.04%,1,47.15%,22,0.00%,0,51.30%,23,0.00%,0,61.66%,26,+3.63%,4,75.13%,29,+1.55%,3,24.35%,8,+8.29%,4,31.61%,3,+3.63%,10
global_mmlu_full_ja_high_school_macroeconomics,22.82%,11,+13.33%,4,35.64%,19,+4.36%,6,35.90%,15,+0.26%,1,39.74%,18,+2.31%,5,42.31%,26,+3.33%,6,59.23%,35,+1.03%,2,67.95%,22,+1.28%,5,25.38%,8,+7.69%,5,32.05%,31,+2.31%,9
global_mmlu_full_ja_high_school_microeconomics,20.17%,11,+15.13%,16,39.08%,22,+0.42%,1,37.39%,15,+4.20%,2,38.24%,5,+2.10%,5,42.86%,26,+6.72%,10,64.29%,21,+1.68%,6,75.21%,28,+1.26%,2,33.19%,15,+3.78%,3,35.71%,18,+2.52%,11
global_mmlu_full_ja_high_school_psychology,20.55%,11,+11.93%,10,40.92%,21,+1.28%,2,35.41%,15,+1.47%,1,47.52%,20,+3.30%,7,52.66%,24,+2.20%,3,71.01%,26,+2.20%,5,77.80%,22,+1.47%,4,26.61%,8,+5.14%,5,34.31%,15,+2.94%,7
global_mmlu_full_ja_human_sexuality,22.90%,5,+6.11%,14,43.51%,24,+2.29%,1,48.85%,15,-0.76%,0,49.62%,21,+6.87%,6,53.44%,20,+1.53%,4,58.78%,7,+6.87%,9,65.65%,20,+3.05%,10,34.35%,15,+2.29%,1,45.04%,27,0.00%,0
global_mmlu_full_ja_professional_psychology,26.96%,1,+0.16%,1,33.33%,25,+1.63%,3,30.56%,14,+2.29%,3,42.48%,16,+1.47%,6,43.95%,25,+0.33%,2,54.74%,28,+1.80%,8,61.11%,34,+1.63%,8,27.94%,3,+0.82%,2,32.68%,30,+0.98%,2
global_mmlu_full_ja_public_relations,30.00%,16,+7.27%,1,29.09%,1,+3.64%,9,38.18%,15,+3.64%,1,40.91%,16,+1.82%,3,46.36%,24,+0.91%,1,48.18%,18,+3.64%,9,47.27%,2,+5.45%,13,33.64%,3,+2.73%,4,36.36%,29,+3.64%,9
global_mmlu_full_ja_security_studies,22.04%,11,+15.92%,7,42.86%,20,+2.45%,2,40.41%,11,0.00%,0,57.55%,22,+2.04%,3,54.29%,26,+2.45%,2,63.67%,31,+0.41%,1,63.67%,7,+2.45%,13,20.00%,8,+15.51%,9,39.18%,13,+4.49%,10
global_mmlu_full_ja_sociology,24.38%,11,+2.99%,8,47.76%,20,+3.98%,3,52.24%,15,+0.50%,1,64.18%,21,+4.48%,2,65.67%,24,+1.00%,2,75.12%,35,+1.00%,1,75.12%,25,+2.99%,11,27.86%,12,+9.45%,6,44.28%,19,+3.48%,16
global_mmlu_full_ja_us_foreign_policy,25.00%,9,+7.00%,9,48.00%,20,+3.00%,5,50.00%,11,-1.00%,0,60.00%,18,+2.00%,1,56.00%,18,+9.00%,6,60.00%,3,+3.00%,12,72.00%,13,+4.00%,9,37.00%,12,+8.00%,3,51.00%,16,+4.00%,6
global_mmlu_full_ja_abstract_algebra,23.00%,8,+13.00%,7,23.00%,10,+7.00%,13,24.00%,1,+5.00%,10,28.00%,8,+10.00%,18,33.00%,9,+8.00%,6,42.00%,8,+4.00%,4,46.00%,27,+2.00%,5,28.00%,4,+8.00%,5,32.00%,2,+3.00%,9
global_mmlu_full_ja_anatomy,22.96%,4,+6.67%,9,34.81%,19,+2.22%,6,37.78%,11,+5.19%,3,42.96%,17,+4.44%,10,42.22%,26,+6.67%,7,52.59%,25,+2.22%,3,61.48%,32,+1.48%,2,26.67%,12,+4.44%,3,35.56%,25,+2.22%,4
global_mmlu_full_ja_astronomy,22.37%,11,+11.84%,6,39.47%,20,+3.29%,3,40.79%,15,+1.32%,1,48.68%,19,-1.32%,0,53.29%,26,+7.24%,6,71.71%,19,+1.32%,4,80.26%,29,+0.66%,1,22.37%,8,+6.58%,4,30.92%,3,+7.89%,8
global_mmlu_full_ja_college_biology,22.22%,17,+7.64%,13,29.17%,1,+2.78%,5,28.47%,3,+2.08%,2,36.81%,8,+2.78%,10,38.19%,22,+2.78%,5,58.33%,26,+2.08%,5,70.83%,20,+1.39%,5,27.08%,11,+2.08%,3,22.22%,0,+15.28%,25
global_mmlu_full_ja_college_chemistry,20.00%,5,+16.00%,9,36.00%,23,0.00%,0,33.00%,13,+1.00%,1,33.00%,8,+4.00%,3,36.00%,18,+7.00%,5,49.00%,20,+6.00%,16,57.00%,24,+2.00%,1,33.00%,8,-1.00%,0,32.00%,2,+5.00%,3
global_mmlu_full_ja_college_computer_science,23.00%,5,+8.00%,10,31.00%,19,+4.00%,5,31.00%,1,+2.00%,2,30.00%,8,+7.00%,15,41.00%,18,+5.00%,8,55.00%,19,+3.00%,6,61.00%,29,+3.00%,8,38.00%,15,+2.00%,1,34.00%,11,+4.00%,4
global_mmlu_full_ja_college_mathematics,25.00%,1,+5.00%,5,32.00%,18,+2.00%,2,33.00%,3,+4.00%,2,28.00%,7,+12.00%,14,36.00%,25,+6.00%,8,42.00%,5,+10.00%,23,53.00%,26,+3.00%,7,28.00%,12,+8.00%,7,39.00%,8,+2.00%,3
global_mmlu_full_ja_college_physics,14.71%,11,+18.63%,17,29.41%,0,+3.92%,5,29.41%,0,+2.94%,4,25.49%,8,+5.88%,12,37.25%,18,+6.86%,4,49.02%,22,+3.92%,1,50.98%,7,+5.88%,3,26.47%,12,+2.94%,3,26.47%,0,+7.84%,14
global_mmlu_full_ja_computer_security,25.00%,8,+9.00%,11,45.00%,20,+7.00%,2,41.00%,11,-4.00%,0,56.00%,17,+2.00%,4,60.00%,26,+5.00%,5,74.00%,27,+3.00%,6,74.00%,25,0.00%,0,28.00%,12,+6.00%,2,46.00%,24,+4.00%,8
global_mmlu_full_ja_conceptual_physics,32.77%,16,0.00%,0,29.36%,3,+1.70%,5,28.94%,9,+3.40%,8,40.43%,26,+2.13%,5,44.68%,24,+3.40%,8,61.70%,31,+1.70%,6,66.38%,15,+2.55%,9,29.79%,13,+5.53%,10,30.21%,5,+3.83%,14
global_mmlu_full_ja_electrical_engineering,26.90%,9,+3.45%,6,34.48%,17,+8.28%,7,36.55%,11,+2.07%,1,45.52%,15,+2.76%,7,44.83%,16,+2.76%,8,54.48%,30,+2.07%,7,57.93%,19,+2.76%,9,26.21%,12,+6.90%,4,40.00%,22,+5.52%,13
global_mmlu_full_ja_elementary_mathematics,22.49%,17,+5.03%,9,26.72%,20,+3.17%,5,31.48%,14,+1.32%,1,39.42%,22,+2.12%,2,45.50%,27,+2.12%,6,55.82%,25,+1.85%,8,63.49%,34,+1.85%,9,26.98%,4,+1.32%,3,30.69%,30,+2.91%,8
